collective,size_bytes,nccl_time_us,nccl_algbw_GBs,nccl_busbw_GBs,sim_time_us,sim_algbw_GBs,sim_busbw_GBs,err_pct_time,err_pct_busbw
all_reduce,1024,15.12,0.07,0.1,12.0,0.3436,0.5154,-20.63,415.4
all_reduce,2048,15.16,0.14,0.2,12.0,0.3436,0.5154,-20.84,157.7
all_reduce,4096,15.25,0.27,0.4,12.0,0.3436,0.5154,-21.31,28.85
all_reduce,8192,15.03,0.54,0.82,12.0,0.6872,1.0201,-20.16,24.4
all_reduce,16384,15.02,1.09,1.64,12.0,1.3637,2.0508,-20.11,25.05
all_reduce,32768,15.25,2.15,3.22,12.0,2.7273,4.091,-21.31,27.05
all_reduce,65536,15.58,4.21,6.31,12.0,5.4653,8.1927,-22.98,29.84
all_reduce,131072,15.85,8.27,12.4,12.0,10.92,16.3853,-24.29,32.14
all_reduce,262144,16.25,16.14,24.2,12.0,21.8506,32.7706,-26.15,35.42
all_reduce,524288,17.3,30.31,45.47,12.0,43.6906,65.5412,-30.64,44.14
all_reduce,1048576,19.43,53.96,80.94,5.0,215.4892,323.2392,-74.27,299.36
all_reduce,2097152,31.02,67.6,101.4,10.0,215.4678,323.207,-67.76,218.74
all_reduce,4194304,43.49,96.45,144.68,19.0,215.4678,323.207,-56.31,123.39
all_reduce,8388608,63.24,132.66,198.99,39.0,215.4678,323.207,-38.33,62.42
all_reduce,16777216,104.73,160.2,240.3,78.0,215.4678,323.1963,-25.52,34.5
all_reduce,33554432,181.23,185.15,277.72,156.0,215.4678,323.1963,-13.92,16.37
all_reduce,67108864,338.55,198.22,297.34,311.0,215.4678,323.1963,-8.14,8.7
all_reduce,134217728,640.56,209.53,314.3,623.0,215.4678,323.1963,-2.74,2.83
all_reduce,268435456,1241.06,216.29,324.44,1246.0,215.4678,323.1963,0.4,-0.38
all_reduce,536870912,2442.97,219.76,329.64,2492.0,215.4678,323.1963,2.01,-1.95
all_reduce,1073741824,4821.89,222.68,334.02,4983.0,215.4678,323.1963,3.34,-3.24
all_reduce,2147483648,9615.9,223.33,334.99,9967.0,215.4678,323.1963,3.65,-3.52
all_reduce,4294967296,19217.3,223.49,335.24,19934.0,215.4678,323.1963,3.73,-3.59
all_reduce,8589934592,38410.9,223.63,335.45,39867.0,215.4678,323.1963,3.79,-3.65
all_gather,1024,15.1,0.07,0.05,12.0,0.3436,0.2577,-20.53,415.4
all_gather,2048,14.92,0.14,0.1,12.0,0.3436,0.2577,-19.57,157.7
all_gather,4096,14.81,0.28,0.21,12.0,0.3436,0.2577,-18.97,22.71
all_gather,8192,15.05,0.54,0.41,12.0,0.6872,0.5154,-20.27,25.71
all_gather,16384,14.87,1.1,0.83,12.0,1.3637,1.0201,-19.3,22.9
all_gather,32768,15.14,2.16,1.62,12.0,2.7273,2.0508,-20.74,26.6
all_gather,65536,15.47,4.24,3.18,12.0,5.4653,4.091,-22.43,28.65
all_gather,131072,15.64,8.38,6.28,12.0,10.92,8.1927,-23.27,30.46
all_gather,262144,16.19,16.19,12.14,12.0,21.8506,16.3853,-25.88,34.97
all_gather,524288,16.94,30.94,23.21,12.0,43.6906,32.7706,-29.16,41.19
all_gather,1048576,17.21,60.94,45.7,4.0,239.4552,179.5941,-76.76,292.98
all_gather,2097152,19.8,105.93,79.45,9.0,239.423,179.5726,-54.55,126.02
all_gather,4194304,43.29,96.89,72.67,18.0,239.4122,179.5618,-58.42,147.09
all_gather,8388608,47.89,175.17,131.38,35.0,239.4122,179.5511,-26.92,36.67
all_gather,16777216,67.27,249.41,187.05,70.0,239.4122,179.5511,4.06,-4.01
all_gather,33554432,109.13,307.47,230.6,115.0,292.6054,219.4514,5.38,-4.83
all_gather,67108864,195.93,342.51,256.88,194.0,345.8093,259.3516,-0.99,0.96
all_gather,134217728,360.06,372.77,279.58,366.0,367.0909,275.3181,1.65,-1.52
all_gather,268435456,688.81,389.71,292.28,691.0,388.3724,291.2739,0.32,-0.34
all_gather,536870912,1339.57,400.78,300.58,1328.0,404.3282,303.2462,-0.86,0.89
all_gather,1073741824,2626.16,408.86,306.65,2621.0,409.6432,307.2405,-0.2,0.19
all_gather,2147483648,5171.79,415.23,311.42,5175.0,414.969,311.2241,0.06,-0.06
all_gather,4294967296,10228.7,419.89,314.92,10219.0,420.284,315.2184,-0.09,0.09
all_gather,8589934592,20229.5,424.62,318.47,20183.0,425.6098,319.202,-0.23,0.23
reduce_scatter,1024,14.52,0.07,0.05,12.0,0.3436,0.2577,-17.36,415.4
reduce_scatter,2048,14.54,0.14,0.11,12.0,0.3436,0.2577,-17.47,134.27
reduce_scatter,4096,14.59,0.28,0.21,12.0,0.3436,0.2577,-17.75,22.71
reduce_scatter,8192,16.24,0.5,0.38,12.0,0.6872,0.5154,-26.11,35.63
reduce_scatter,16384,14.55,1.13,0.84,12.0,1.3637,1.0201,-17.53,21.44
reduce_scatter,32768,14.71,2.23,1.67,12.0,2.7273,2.0508,-18.42,22.81
reduce_scatter,65536,14.88,4.4,3.3,12.0,5.4653,4.091,-19.35,23.97
reduce_scatter,131072,15.32,8.55,6.41,12.0,10.92,8.1927,-21.67,27.81
reduce_scatter,262144,15.97,16.41,12.31,12.0,21.8506,16.3853,-24.86,33.11
reduce_scatter,524288,16.48,31.82,23.86,12.0,43.6906,32.7706,-27.18,37.35
reduce_scatter,1048576,17.17,61.08,45.81,4.0,239.4552,179.5941,-76.7,292.04
reduce_scatter,2097152,18.72,112.04,84.03,9.0,239.423,179.5726,-51.92,113.7
reduce_scatter,4194304,42.77,98.06,73.55,18.0,239.4122,179.5618,-57.91,144.14
reduce_scatter,8388608,45.14,185.82,139.36,35.0,239.4122,179.5511,-22.46,28.84
reduce_scatter,16777216,63.94,262.4,196.8,70.0,239.4122,179.5511,9.48,-8.76
reduce_scatter,33554432,106.59,314.79,236.09,115.0,292.6054,219.4514,7.89,-7.05
reduce_scatter,67108864,195.81,342.72,257.04,194.0,345.8093,259.3516,-0.92,0.9
reduce_scatter,134217728,362.43,370.32,277.74,366.0,367.0909,275.3181,0.99,-0.87
reduce_scatter,268435456,700.67,383.11,287.33,691.0,388.3724,291.2739,-1.38,1.37
reduce_scatter,536870912,1357.51,395.48,296.61,1328.0,404.3282,303.2462,-2.17,2.24
reduce_scatter,1073741824,2661.19,403.48,302.61,2621.0,409.6432,307.2405,-1.51,1.53
reduce_scatter,2147483648,5238.16,409.97,307.48,5175.0,414.969,311.2241,-1.21,1.22
reduce_scatter,4294967296,10310.5,416.56,312.42,10219.0,420.284,315.2184,-0.89,0.9
reduce_scatter,8589934592,20410.9,420.85,315.64,20183.0,425.6098,319.202,-1.12,1.13
